,week,day,time_of_day,class_type,faculty,school,joint,status,degree,enrollment,class_duration
1661,6,0,0,0,5,8,0,4,2,447,1
1662,6,4,0,0,5,28,0,2,2,271,1
1663,0,2,0,0,6,30,0,4,2,269,2
1664,3,0,0,0,5,4,0,4,2,238,1
1665,8,2,2,0,6,18,0,4,2,397,2
1666,9,4,2,0,5,8,0,4,2,291,2
1667,10,2,0,0,6,30,0,4,2,269,2
1668,11,1,2,0,5,8,0,4,2,399,2
1669,8,1,2,0,2,16,0,4,2,418,2
1670,11,1,0,0,6,18,0,4,2,421,2
1671,7,0,0,0,5,4,0,4,2,238,1
1672,0,1,0,0,6,18,0,4,2,421,2
1673,10,2,2,0,5,8,0,4,2,381,2
1674,1,3,0,0,5,28,0,2,2,231,1
1675,4,1,1,0,5,15,0,4,2,386,1
1676,5,4,0,0,6,18,0,4,2,416,2
1677,9,4,0,0,6,18,0,4,2,416,2
1678,6,1,1,0,6,23,0,4,2,296,2
1679,6,4,2,0,5,8,0,4,2,291,2
1680,6,1,1,0,5,15,0,4,2,386,1
1681,6,4,2,0,4,26,1,4,2,404,1
1682,0,2,3,0,6,18,0,4,2,374,2
1683,0,2,2,0,5,8,0,4,2,381,2
1684,0,1,1,0,5,15,0,4,2,386,1
1685,10,2,2,0,6,18,0,4,2,397,2
1686,10,2,1,0,2,25,0,4,2,399,3
1687,9,4,3,0,2,16,0,4,0,344,3
1688,10,0,2,0,5,8,0,4,2,306,2
1689,6,1,0,0,6,18,0,4,2,421,2
1690,11,4,1,0,2,16,0,4,2,418,1
1691,6,4,0,0,6,18,0,4,2,416,2
1692,1,3,2,0,5,8,0,4,2,399,2
1693,11,1,1,0,5,15,0,4,2,386,1
1694,6,4,3,0,2,16,0,4,0,344,3
1695,7,3,0,0,6,23,0,4,2,455,2
1696,5,3,2,0,4,26,1,4,2,404,1
1697,8,1,0,0,6,18,0,4,2,421,2
1698,6,0,0,0,2,17,1,4,1,303,1
1699,0,3,1,0,5,8,0,4,2,447,1
1700,9,4,1,0,6,18,0,4,2,400,2
1701,0,2,2,0,6,18,0,4,2,397,2
1702,9,4,1,0,2,16,0,4,2,418,1
1703,0,3,0,0,2,17,1,4,1,321,1
1704,1,3,0,0,2,17,1,4,1,321,1
1705,6,1,2,0,2,16,0,4,2,418,2
1706,7,3,1,0,5,8,0,4,2,447,1
1707,6,4,1,0,6,18,0,4,2,400,2
1708,7,2,3,0,6,18,0,4,2,374,2
1709,8,1,3,0,6,11,0,4,2,133,2
1710,1,3,1,0,5,8,0,4,2,447,1
1711,11,1,2,0,2,16,0,4,2,418,2
1712,0,0,1,0,4,26,1,4,2,404,1
1713,12,0,3,1,2,25,0,4,2,326,1
1714,7,3,2,0,4,26,1,4,2,404,1
1715,1,4,2,0,4,26,1,4,2,404,1
1716,1,3,2,0,4,26,1,4,2,404,1
1717,0,3,0,0,6,23,0,4,2,455,2
1718,1,3,0,0,6,23,0,4,2,455,2
1719,0,0,0,0,2,17,1,4,1,303,1
1720,8,1,1,0,5,15,0,4,2,386,1
1721,1,4,0,0,5,28,0,2,2,271,1
1722,0,1,3,0,6,11,0,4,2,133,2
1723,0,1,2,0,2,16,0,4,2,418,2
1724,4,3,2,0,2,2,0,4,2,159,2
1725,4,3,0,0,2,21,1,3,2,185,2
1726,5,1,1,0,6,12,0,4,0,79,3
1727,4,4,0,0,2,21,0,4,2,211,1
1728,2,1,0,0,5,28,0,4,2,81,1
1729,4,3,1,0,2,2,1,1,0,163,1
1730,3,1,1,0,6,12,0,4,0,79,3
1731,2,1,2,0,5,28,0,2,2,128,1
1732,2,4,2,0,4,26,0,4,2,102,2
1733,4,4,1,0,6,18,1,4,1,157,2
1734,4,4,2,0,3,5,1,4,2,90,1
1735,7,4,0,0,2,21,0,4,2,211,1
1736,3,4,1,0,6,18,1,4,1,157,2
1737,9,4,0,0,2,25,1,1,2,197,2
1738,2,1,0,0,6,32,0,4,2,145,1
1739,10,4,0,0,2,21,0,4,2,211,1
1740,8,4,0,0,2,25,1,1,2,197,2
1741,4,4,2,0,2,25,0,4,2,212,1
1742,4,3,2,0,0,31,0,4,2,120,1
1743,2,3,2,0,0,31,0,4,2,120,1
1744,3,1,0,0,6,32,0,4,2,145,1
1745,2,4,3,0,2,25,0,4,0,193,3
1746,2,1,2,0,5,28,0,2,2,137,1
1747,3,0,0,0,6,7,0,4,2,167,2
1748,7,1,0,0,5,4,0,4,2,57,1
1749,10,4,3,0,2,25,0,4,0,193,3
1750,10,4,2,0,4,26,0,4,2,102,2
1751,2,0,2,0,3,14,1,1,1,181,3
1752,2,1,1,0,6,12,0,4,0,79,3
1753,2,3,1,0,2,2,1,1,0,163,1
1754,10,4,1,0,6,18,1,4,1,157,2
1755,2,1,0,0,2,13,0,4,2,125,3
1756,3,0,2,0,0,31,0,4,2,32,1
1757,4,4,3,0,2,25,0,4,0,193,3
1758,2,4,2,0,2,25,0,4,2,212,1
1759,4,4,2,0,4,26,0,4,2,102,2
1760,2,4,0,0,2,25,1,1,2,197,2
1761,2,1,2,0,2,25,0,4,2,212,1
1762,2,3,0,0,2,21,1,3,2,185,2
1763,3,0,2,0,2,25,0,4,2,226,1
1764,9,0,2,0,3,14,1,1,1,181,3
1765,4,1,0,0,5,28,0,4,2,81,1
1766,9,0,0,0,6,7,0,4,2,167,2
1767,3,0,2,0,3,14,1,1,1,181,3
1768,9,0,2,0,2,25,0,4,2,226,1
1769,2,2,1,0,6,11,0,4,2,194,2
1770,2,2,0,0,6,18,0,4,0,160,2
1771,5,1,0,0,2,13,0,4,2,125,3
1772,10,3,2,0,2,2,0,4,2,159,2
1773,11,4,0,0,2,25,1,1,2,197,2
1774,4,4,0,0,2,25,1,1,2,197,2
1775,3,1,0,0,2,13,0,4,2,125,3
1776,2,4,2,0,3,5,1,4,2,90,1
1777,9,2,0,0,5,24,0,4,2,105,2
1778,5,2,0,0,5,24,0,4,2,105,2
1779,9,3,2,0,0,31,0,4,2,120,1
1780,6,3,2,0,0,31,0,4,2,120,1
1781,8,3,1,0,2,2,1,1,0,163,1
1782,2,0,0,0,6,7,0,4,2,167,2
1783,2,0,2,0,0,31,0,4,2,32,1
1784,1,2,2,0,6,23,0,4,2,149,2
1785,1,0,0,0,6,7,0,4,2,167,2
1786,2,3,2,0,2,2,0,4,2,159,2
1787,1,0,2,0,2,25,0,4,2,226,1
1788,6,2,0,0,6,18,0,4,0,160,2
1789,10,1,2,0,2,25,0,4,2,212,1
1790,10,1,2,0,5,28,0,2,2,137,1
1791,10,1,0,0,5,24,0,4,0,45,2
1792,4,2,1,0,6,11,0,4,2,194,2
1793,11,4,2,0,4,26,0,4,2,102,2
1794,11,4,2,0,2,25,0,4,2,212,1
1795,3,1,0,0,5,28,0,4,2,81,1
1796,2,4,1,0,6,18,1,4,1,157,2
1797,1,0,2,0,0,31,0,4,2,32,1
1798,2,4,0,0,2,21,0,4,2,211,1
1799,9,2,2,0,6,23,0,4,2,149,2
1800,4,1,2,0,5,28,0,2,2,137,1
1801,6,1,0,0,5,28,0,4,2,81,1
1802,3,1,2,0,2,25,0,4,2,212,1
1803,3,1,2,0,5,28,0,2,2,137,1
1804,1,2,1,0,6,11,0,4,2,194,2
1805,1,2,0,0,6,18,0,4,0,160,2
1806,0,1,2,0,5,28,0,2,2,128,1
1807,9,2,0,0,6,18,0,4,0,160,2
1808,0,1,0,0,5,28,0,4,2,81,1
1809,8,2,0,0,6,18,0,4,0,160,2
1810,6,3,0,0,2,21,1,3,2,185,2
1811,11,2,1,0,6,11,0,4,2,194,2
1812,11,4,2,0,4,26,0,4,2,102,2
1813,8,4,2,0,4,26,0,4,2,102,2
1814,3,1,2,0,5,28,0,2,2,128,1
1815,4,0,2,0,3,14,1,1,1,181,3
1816,9,2,1,0,6,11,0,4,2,194,2
1817,5,0,2,0,3,14,1,1,1,181,3
1818,1,0,2,0,3,14,1,1,1,181,3
1819,4,1,2,0,5,28,0,2,2,128,1
1820,6,2,1,0,6,11,0,4,2,194,2
1821,6,1,2,0,5,28,0,2,2,128,1
1822,8,1,0,0,5,28,0,4,2,81,1
1823,2,2,2,0,6,23,0,4,2,149,2
1824,11,0,2,0,3,14,1,1,1,181,3
1825,10,3,1,0,2,2,1,1,0,163,3
1826,3,4,2,0,3,5,1,4,2,90,1
1827,8,2,1,0,6,11,0,4,2,194,2
1828,12,1,1,0,6,12,0,4,0,79,3
